Network,Contract,Function,Min,Max,L2 Avg (Exec),L1 Avg (Bytes),Calls,usd avg
Linea,SimpleAuction,withdraw,23509,28560,25642,-,45,0.00467402
Linea,SimpleStaking,exit,-,-,153355,-,1,0.02795355
Linea,SimpleStaking,getReward,67287,120587,77424,-,46,0.01411285
Linea,SimpleStaking,stake,126368,143468,133372,-,48,0.02431105
Linea,SimpleStaking,withdraw,72768,81168,80985,-,46,0.01476195
Optimism,AdvancedToken,blacklist,47341,47353,47352,2223,47,0.00018510
Optimism,AdvancedToken,pause,-,-,27743,1840,47,0.00011040
Optimism,AdvancedToken,unblacklist,25415,25427,25426,2223,46,0.00010313
Optimism,AdvancedToken,unpause,-,-,27721,1840,46,0.00011032
Optimism,BasicToken,approve,26506,46406,34786,2421,46,0.00013884
Optimism,BasicToken,burn,33808,33832,33809,2057,46,0.00013387
Optimism,BasicToken,mint,36693,53817,40750,2445,93,0.00016123
Optimism,BasicToken,transfer,34486,51610,35230,2429,46,0.00014053
Optimism,MultiSigWallet,confirmTransaction,57501,74613,63417,1995,139,0.00024433
Optimism,MultiSigWallet,executeTransaction,70275,70287,70286,1995,46,0.00027002
Optimism,MultiSigWallet,revokeConfirmation,32296,35581,35509,1995,46,0.00014000
Optimism,MultiSigWallet,submitTransaction,81380,101352,85260,2706,48,0.00032858
Optimism,MyNFT,approve,48655,48679,48678,2379,46,0.00019063
Optimism,MyNFT,batchMint,-,-,199119,2380,1,0.00075307
Optimism,MyNFT,safeMint,61562,95762,71491,2224,93,0.00027535
Optimism,MyNFT,transferFrom,38426,55526,39507,2735,47,0.00015763
Optimism,SimpleAuction,auctionEnd,-,-,62830,1828,2,0.00024153
Optimism,SimpleAuction,bid,40267,69074,48623,1929,95,0.00018879
Optimism,SimpleAuction,withdraw,23509,28560,25642,1808,45,0.00010243
Optimism,SimpleStaking,exit,-,-,153355,1828,1,0.00057997
Optimism,SimpleStaking,getReward,67287,120587,77424,1809,46,0.00029603
Optimism,SimpleStaking,stake,126368,143468,133372,2037,48,0.00050602
Optimism,SimpleStaking,withdraw,72768,81168,80985,2037,46,0.00031017
Polygon,AdvancedToken,blacklist,47341,47353,47352,-,47,0.00031963
Polygon,AdvancedToken,pause,-,-,27743,-,47,0.00018727
Polygon,AdvancedToken,unblacklist,25415,25427,25426,-,46,0.00017163
Polygon,AdvancedToken,unpause,-,-,27721,-,46,0.00018712
Polygon,BasicToken,approve,26506,46406,34786,-,46,0.00023481
Polygon,BasicToken,burn,33808,33832,33809,-,46,0.00022821
Polygon,BasicToken,mint,36693,53817,40750,-,93,0.00027506
Polygon,BasicToken,transfer,34486,51610,35230,-,46,0.00023780
Polygon,MultiSigWallet,confirmTransaction,57501,74613,63417,-,139,0.00042806
Polygon,MultiSigWallet,executeTransaction,70275,70287,70286,-,46,0.00047443
Polygon,MultiSigWallet,revokeConfirmation,32296,35581,35509,-,46,0.00023969
Polygon,MultiSigWallet,submitTransaction,81380,101352,85260,-,48,0.00057551
Polygon,MyNFT,approve,48655,48679,48678,-,46,0.00032858
Polygon,MyNFT,batchMint,-,-,199119,-,1,0.00134405
Polygon,MyNFT,safeMint,61562,95762,71491,-,93,0.00048256
Polygon,MyNFT,transferFrom,38426,55526,39507,-,47,0.00026667
Polygon,SimpleAuction,auctionEnd,-,-,62830,-,2,0.00042410
Polygon,SimpleAuction,bid,40267,69074,48623,-,95,0.00032821
Polygon,SimpleAuction,withdraw,23509,28560,25642,-,45,0.00017308
Polygon,SimpleStaking,exit,-,-,153355,-,1,0.00103515
Polygon,SimpleStaking,getReward,67287,120587,77424,-,46,0.00052261
Polygon,SimpleStaking,stake,126368,143468,133372,-,48,0.00090026
Polygon,SimpleStaking,withdraw,72768,81168,80985,-,46,0.00054665
Scroll,AdvancedToken,blacklist,47341,47353,47352,-,47,0.00054606
Scroll,AdvancedToken,pause,-,-,27743,-,47,0.00031993
Scroll,AdvancedToken,unblacklist,25415,25427,25426,-,46,0.00029321
Scroll,AdvancedToken,unpause,-,-,27721,-,46,0.00031968
Scroll,BasicToken,approve,26506,46406,34786,-,46,0.00040115
Scroll,BasicToken,burn,33808,33832,33809,-,46,0.00038989
Scroll,BasicToken,mint,36693,53817,40750,-,93,0.00046993
Scroll,BasicToken,transfer,34486,51610,35230,-,46,0.00040627
Scroll,MultiSigWallet,confirmTransaction,57501,74613,63417,-,139,0.00073132
Scroll,MultiSigWallet,executeTransaction,70275,70287,70286,-,46,0.00081054
Scroll,MultiSigWallet,revokeConfirmation,32296,35581,35509,-,46,0.00040949
Scroll,MultiSigWallet,submitTransaction,81380,101352,85260,-,48,0.00098322
Scroll,MyNFT,approve,48655,48679,48678,-,46,0.00056135
Scroll,MyNFT,batchMint,-,-,199119,-,1,0.00229624
Scroll,MyNFT,safeMint,61562,95762,71491,-,93,0.00082443
Scroll,MyNFT,transferFrom,38426,55526,39507,-,47,0.00045559
Scroll,SimpleAuction,auctionEnd,-,-,62830,-,2,0.00072456
Scroll,SimpleAuction,bid,40267,69074,48623,-,95,0.00056072
Scroll,SimpleAuction,withdraw,23509,28560,25642,-,45,0.00029570
Scroll,SimpleStaking,exit,-,-,153355,-,1,0.00176849
Scroll,SimpleStaking,getReward,67287,120587,77424,-,46,0.00089285
Scroll,SimpleStaking,stake,126368,143468,133372,-,48,0.00153805
Scroll,SimpleStaking,withdraw,72768,81168,80985,-,46,0.00093392
zkSync,AdvancedToken,blacklist,47341,47353,47352,-,47,0.00796195
zkSync,AdvancedToken,pause,-,-,27743,-,47,0.00466482
zkSync,AdvancedToken,unblacklist,25415,25427,25426,-,46,0.00427523
zkSync,AdvancedToken,unpause,-,-,27721,-,46,0.00466112
zkSync,BasicToken,approve,26506,46406,34786,-,46,0.00584906
zkSync,BasicToken,burn,33808,33832,33809,-,46,0.00568478
zkSync,BasicToken,mint,36693,53817,40750,-,93,0.00685187
zkSync,BasicToken,transfer,34486,51610,35230,-,46,0.00592371
zkSync,MultiSigWallet,confirmTransaction,57501,74613,63417,-,139,0.01066319
zkSync,MultiSigWallet,executeTransaction,70275,70287,70286,-,46,0.01181817
zkSync,MultiSigWallet,revokeConfirmation,32296,35581,35509,-,46,0.00597063
zkSync,MultiSigWallet,submitTransaction,81380,101352,85260,-,48,0.01433596
zkSync,MyNFT,approve,48655,48679,48678,-,46,0.00818491
zkSync,MyNFT,batchMint,-,-,199119,-,1,0.03348067
zkSync,MyNFT,safeMint,61562,95762,71491,-,93,0.01202078
zkSync,MyNFT,transferFrom,38426,55526,39507,-,47,0.00664287
zkSync,SimpleAuction,auctionEnd,-,-,62830,-,2,0.01056449
zkSync,SimpleAuction,bid,40267,69074,48623,-,95,0.00817567
zkSync,SimpleAuction,withdraw,23509,28560,25642,-,45,0.00431155
zkSync,SimpleStaking,exit,-,-,153355,-,1,0.02578572
zkSync,SimpleStaking,getReward,67287,120587,77424,-,46,0.01301838
zkSync,SimpleStaking,stake,126368,143468,133372,-,48,0.02242570
zkSync,SimpleStaking,withdraw,72768,81168,80985,-,46,0.01361714
