Network,Contract,Method,Min Gas,Max Gas,Avg Gas,L2 Avg (Exec),L1 Avg (Bytes/Data),Calls,USD Avg,Block %,L1 Gas Price,L1 Blob Base Fee,L2 Gas Price,Token Price,Currency
Base,SimpleStaking,exit,-,-,153355,153355,1828,1,0.00379537,,,0.749024307,0,0.00664,3720,ETH
Base,SimpleStaking,getReward,67287,120587,77424,77424,1809,46,0.00191888,,,0.749024307,0,0.00664,3720,ETH
Base,SimpleStaking,stake,126368,143468,133372,133372,2037,48,0.00330219,,,0.749024307,0,0.00664,3720,ETH
Base,SimpleStaking,withdraw,72768,81168,80985,80985,2037,46,0.00200758,,,0.749024307,0,0.00664,3720,ETH
Base,SimpleStaking,deployment,-,-,772065,772065,49000,,0.01922987,2.6,0.749024307,0,0.00664,3720,ETH
Ink,AdvancedToken,blacklist,47341,47353,47352,,,47,0.00000006,,,0,0,3720,ETH
Ink,AdvancedToken,pause,-,-,27743,,,47,0.00000004,,,0,0,3720,ETH
Ink,AdvancedToken,unblacklist,25415,25427,25426,,,46,0.00000003,,,0,0,3720,ETH
Ink,AdvancedToken,unpause,-,-,27721,,,46,0.00000004,,,0,0,3720,ETH
Ink,AdvancedToken,deployment,-,-,973081,,,,,0.00000127,3.2,0,0,3720,ETH
Ink,BasicToken,approve,26506,46406,34786,,,46,0.00000005,,,0,0,3720,ETH
Ink,BasicToken,burn,33808,33832,33809,,,46,0.00000004,,,0,0,3720,ETH
Ink,BasicToken,mint,36693,53817,40750,,,93,0.00000005,,,0,0,3720,ETH
Ink,BasicToken,transfer,34486,51610,35230,,,46,0.00000005,,,0,0,3720,ETH
Ink,BasicToken,deployment,-,-,768883,,,,,0.000001,2.6,0,0,3720,ETH
Ink,MultiSigWallet,confirmTransaction,57501,74613,63417,,,139,0.00000008,,,0,0,3720,ETH
Ink,MultiSigWallet,executeTransaction,70275,70287,70286,,,46,0.00000009,,,0,0,3720,ETH
Ink,MultiSigWallet,revokeConfirmation,32296,35581,35509,,,46,0.00000005,,,0,0,3720,ETH
Ink,MultiSigWallet,submitTransaction,81380,101352,85260,,,48,0.00000011,,,0,0,3720,ETH
Ink,MultiSigWallet,deployment,-,-,1262755,,,,,0.00000165,4.2,0,0,3720,ETH
Ink,MyNFT,approve,48655,48679,48678,,,46,0.00000006,,,0,0,3720,ETH
Ink,MyNFT,batchMint,-,-,199119,,,1,0.00000026,,,0,0,3720,ETH
Ink,MyNFT,safeMint,61562,95762,71491,,,93,0.00000009,,,0,0,3720,ETH
Ink,MyNFT,transferFrom,38426,55526,39507,,,47,0.00000005,,,0,0,3720,ETH
Ink,MyNFT,deployment,-,-,1186392,,,,,0.00000155,4,0,0,3720,ETH
Ink,SimpleAuction,auctionEnd,-,-,62830,,,2,0.00000008,,,0,0,3720,ETH
Ink,SimpleAuction,bid,40267,69074,48623,,,95,0.00000006,,,0,0,3720,ETH
Ink,SimpleAuction,withdraw,23509,28560,25642,,,45,0.00000003,,,0,0,3720,ETH
Ink,SimpleAuction,deployment,-,-,412278,,,,,0.00000054,1.4,0,0,3720,ETH
Ink,SimpleStaking,exit,-,-,153355,,,1,0.0000002,,,0,0,3720,ETH
Ink,SimpleStaking,getReward,67287,120587,77424,,,46,0.0000001,,,0,0,3720,ETH
Ink,SimpleStaking,stake,126368,143468,133372,,,48,0.00000017,,,0,0,3720,ETH
Ink,SimpleStaking,withdraw,72768,81168,80985,,,46,0.00000011,,,0,0,3720,ETH
Ink,SimpleStaking,deployment,-,-,772065,,,,,0.00000101,2.6,0,0,3720,ETH
Linea,AdvancedToken,blacklist,47341,47353,47352,,,47,0,,,0,0,3720,ETH
Linea,AdvancedToken,pause,-,-,27743,,,47,0,,,0,0,3720,ETH
Linea,AdvancedToken,unblacklist,25415,25427,25426,,,46,0,,,0,0,3720,ETH
Linea,AdvancedToken,unpause,-,-,27721,,,46,0,,,0,0,3720,ETH
Linea,AdvancedToken,deployment,-,-,973081,,,,,0.00000003,3.2,0,0,3720,ETH
Linea,BasicToken,approve,26506,46406,34786,,,46,0,,,0,0,3720,ETH
Linea,BasicToken,burn,33808,33832,33809,,,46,0,,,0,0,3720,ETH
Linea,BasicToken,mint,36693,53817,40750,,,93,0,,,0,0,3720,ETH
Linea,BasicToken,transfer,34486,51610,35230,,,46,0,,,0,0,3720,ETH
Linea,BasicToken,deployment,-,-,768883,,,,,0.00000002,2.6,0,0,3720,ETH
Linea,MultiSigWallet,confirmTransaction,57501,74613,63417,,,139,0,,,0,0,3720,ETH
Linea,MultiSigWallet,executeTransaction,70275,70287,70286,,,46,0,,,0,0,3720,ETH
Linea,MultiSigWallet,revokeConfirmation,32296,35581,35509,,,46,0,,,0,0,3720,ETH
Linea,MultiSigWallet,submitTransaction,81380,101352,85260,,,48,0,,,0,0,3720,ETH
Linea,MultiSigWallet,deployment,-,-,1262755,,,,,0.00000003,4.2,0,0,3720,ETH
Linea,MyNFT,approve,48655,48679,48678,,,46,0,,,0,0,3720,ETH
Linea,MyNFT,batchMint,-,-,199119,,,1,0.00000001,,,0,0,3720,ETH
Linea,MyNFT,safeMint,61562,95762,71491,,,93,0,,,0,0,3720,ETH
Linea,MyNFT,transferFrom,38426,55526,39507,,,47,0,,,0,0,3720,ETH
Linea,MyNFT,deployment,-,-,1186392,,,,,0.00000003,4,0,0,3720,ETH
Linea,SimpleAuction,auctionEnd,-,-,62830,,,2,0,,,0,0,3720,ETH
Linea,SimpleAuction,bid,40267,69074,48623,,,95,0,,,0,0,3720,ETH
Linea,SimpleAuction,withdraw,23509,28560,25642,,,45,0,,,0,0,3720,ETH
